channel_name,period_month,metric_type,target_value,target_source,notes
TiktokShop,2026-06-01,NET_MARGIN_PCT,9.0,BUDGET,Placeholder — update with real budget
TiktokShop,2026-06-01,ORDER_COUNT,1100,BUDGET,Placeholder — update with real budget
Web,2026-01-01,NET_REVENUE,150000000,BUDGET,Placeholder — update with real budget
Web,2026-01-01,NET_MARGIN_PCT,22.0,BUDGET,Placeholder — update with real budget
Web,2026-01-01,ORDER_COUNT,600,BUDGET,Placeholder — update with real budget
Web,2026-02-01,NET_REVENUE,140000000,BUDGET,Placeholder — update with real budget
Web,2026-02-01,NET_MARGIN_PCT,22.0,BUDGET,Placeholder — update with real budget
Web,2026-02-01,ORDER_COUNT,560,BUDGET,Placeholder — update with real budget
Web,2026-03-01,NET_REVENUE,160000000,BUDGET,Placeholder — update with real budget
Web,2026-03-01,NET_MARGIN_PCT,22.5,BUDGET,Placeholder — update with real budget
Web,2026-03-01,ORDER_COUNT,640,BUDGET,Placeholder — update with real budget
Web,2026-04-01,NET_REVENUE,160000000,BUDGET,Placeholder — update with real budget
Web,2026-04-01,NET_MARGIN_PCT,22.5,BUDGET,Placeholder — update with real budget
Web,2026-04-01,ORDER_COUNT,640,BUDGET,Placeholder — update with real budget
Web,2026-05-01,NET_REVENUE,175000000,BUDGET,Placeholder — update with real budget
Web,2026-05-01,NET_MARGIN_PCT,23.0,BUDGET,Placeholder — update with real budget
Web,2026-05-01,ORDER_COUNT,700,BUDGET,Placeholder — update with real budget
Web,2026-06-01,NET_REVENUE,175000000,BUDGET,Placeholder — update with real budget
Web,2026-06-01,NET_MARGIN_PCT,23.0,BUDGET,Placeholder — update with real budget
Web,2026-06-01,ORDER_COUNT,700,BUDGET,Placeholder — update with real budget
Facebook,2026-01-01,NET_REVENUE,100000000,BUDGET,Placeholder — update with real budget
Facebook,2026-01-01,NET_MARGIN_PCT,18.0,BUDGET,Placeholder — update with real budget
Facebook,2026-01-01,ORDER_COUNT,400,BUDGET,Placeholder — update with real budget
Facebook,2026-02-01,NET_REVENUE,95000000,BUDGET,Placeholder — update with real budget
Facebook,2026-02-01,NET_MARGIN_PCT,18.0,BUDGET,Placeholder — update with real budget
Facebook,2026-02-01,ORDER_COUNT,380,BUDGET,Placeholder — update with real budget
Facebook,2026-03-01,NET_REVENUE,110000000,BUDGET,Placeholder — update with real budget
Facebook,2026-03-01,NET_MARGIN_PCT,18.5,BUDGET,Placeholder — update with real budget
Facebook,2026-03-01,ORDER_COUNT,440,BUDGET,Placeholder — update with real budget
Facebook,2026-04-01,NET_REVENUE,110000000,BUDGET,Placeholder — update with real budget
Facebook,2026-04-01,NET_MARGIN_PCT,18.5,BUDGET,Placeholder — update with real budget
Facebook,2026-04-01,ORDER_COUNT,440,BUDGET,Placeholder — update with real budget
Facebook,2026-05-01,NET_REVENUE,120000000,BUDGET,Placeholder — update with real budget
Facebook,2026-05-01,NET_MARGIN_PCT,19.0,BUDGET,Placeholder — update with real budget
Facebook,2026-05-01,ORDER_COUNT,480,BUDGET,Placeholder — update with real budget
Facebook,2026-06-01,NET_REVENUE,120000000,BUDGET,Placeholder — update with real budget
Facebook,2026-06-01,NET_MARGIN_PCT,19.0,BUDGET,Placeholder — update with real budget
Facebook,2026-06-01,ORDER_COUNT,480,BUDGET,Placeholder — update with real budget
GrabMart,2026-01-01,NET_REVENUE,50000000,BUDGET,Placeholder — update with real budget
GrabMart,2026-01-01,NET_MARGIN_PCT,15.0,BUDGET,Placeholder — update with real budget
GrabMart,2026-01-01,ORDER_COUNT,250,BUDGET,Placeholder — update with real budget
GrabMart,2026-02-01,NET_REVENUE,48000000,BUDGET,Placeholder — update with real budget
GrabMart,2026-02-01,NET_MARGIN_PCT,15.0,BUDGET,Placeholder — update with real budget
GrabMart,2026-02-01,ORDER_COUNT,240,BUDGET,Placeholder — update with real budget
GrabMart,2026-03-01,NET_REVENUE,55000000,BUDGET,Placeholder — update with real budget
GrabMart,2026-03-01,NET_MARGIN_PCT,15.5,BUDGET,Placeholder — update with real budget
GrabMart,2026-03-01,ORDER_COUNT,275,BUDGET,Placeholder — update with real budget
GrabMart,2026-04-01,NET_REVENUE,55000000,BUDGET,Placeholder — update with real budget
GrabMart,2026-04-01,NET_MARGIN_PCT,15.5,BUDGET,Placeholder — update with real budget
GrabMart,2026-04-01,ORDER_COUNT,275,BUDGET,Placeholder — update with real budget
GrabMart,2026-05-01,NET_REVENUE,60000000,BUDGET,Placeholder — update with real budget
GrabMart,2026-05-01,NET_MARGIN_PCT,16.0,BUDGET,Placeholder — update with real budget
GrabMart,2026-05-01,ORDER_COUNT,300,BUDGET,Placeholder — update with real budget
GrabMart,2026-06-01,NET_REVENUE,60000000,BUDGET,Placeholder — update with real budget
GrabMart,2026-06-01,NET_MARGIN_PCT,16.0,BUDGET,Placeholder — update with real budget
GrabMart,2026-06-01,ORDER_COUNT,300,BUDGET,Placeholder — update with real budget
